user_id,score,message,timestamp
1,9,"Loved the quick service and friendly staff!",2024-03-17T12:00:00
2,7,"Good service, but the waiting area was a bit crowded.",2024-03-17T12:05:00
3,5,"Average experience, nothing stood out.",2024-03-17T12:10:00
4,10,"Exceptional service! Highly recommend.",2024-03-17T12:15:00
1,8,"Second visit: still impressed with the service quality.",2024-03-17T12:20:00
5,3,"Disappointed with the long wait time.",2024-03-17T12:25:00
6,6,"Decent, but I've had better experiences elsewhere.",2024-03-17T12:30:00
7,8,"Great atmosphere and staff were very welcoming.",2024-03-17T12:35:00
2,4,"Not as good on a second visit, quite understaffed.",2024-03-17T12:40:00
8,9,"Everything was perfect, from service to ambiance!",2024-03-17T12:45:00
9,2,"Very unsatisfied with the customer service.",2024-03-17T12:50:00
10,8,"Very efficient and friendly service.",2024-03-17T12:55:00
11,7,"Pleasant experience overall, will come again.",2024-03-17T13:00:00
12,6,"It was okay, but I think there's a lot of room for improvement.",2024-03-17T13:05:00
13,9,"I was very impressed! Will definitely recommend to friends.",2024-03-17T13:10:00
4,7,"Still good, but not as impressive as my first visit.",2024-03-17T13:15:00
14,5,"Mediocre service, was expecting more based on reviews.",2024-03-17T13:20:00
15,10,"Absolutely fantastic! Can't wait for my next visit.",2024-03-17T13:25:00
3,4,"Second time here, and it was less impressive.",2024-03-17T13:30:00
16,7,"Good, but the ambiance could be improved.",2024-03-17T13:35:00
17,8,"Service was top-notch, very satisfied.",2024-03-17T13:40:00
18,3,"Food quality has gone down since my last visit.",2024-03-17T13:45:00
19,7,"Nice place, but could use more menu options.",2024-03-17T13:50:00
20,5,"An average experience, nothing special.",2024-03-17T13:55:00
21,9,"Loved the innovative options! Very creative.",2024-03-17T14:00:00
7,6,"Service was good, but the food didn't meet my expectations.",2024-03-17T14:05:00
22,8,"Really liked the ambiance and the service was great!",2024-03-17T14:10:00
23,4,"Not what I expected based on the reviews. Was quite let down.",2024-03-17T14:15:00
24,10,"This place never disappoints! Always a pleasure.",2024-03-17T14:20:00
25,6,"It was fine, but I think there's room for improvement in terms of service.",2024-03-17T14:25:00
26,8,"The new menu items are a great addition!",2024-03-18T10:00:00
27,4,"Service was slower than expected, not very happy.",2024-03-18T10:05:00
28,9,"A wonderful experience, the staff went above and beyond.",2024-03-18T10:10:00
29,5,"The atmosphere is nice, but the food was just okay.",2024-03-18T10:15:00
30,7,"Good experience on my first visit, I might come back.",2024-03-18T10:20:00
31,3,"I was disappointed with the quality of service.",2024-03-18T10:25:00
32,10,"Absolutely loved it! Can't wait to return.",2024-03-18T10:30:00
33,6,"It was decent, but there's definitely room for improvement.",2024-03-18T10:35:00
34,8,"Great place, I really enjoyed the special dishes.",2024-03-18T10:40:00
35,2,"Not satisfied at all, it was a letdown.",2024-03-18T10:45:00
36,9,"Fantastic service and amazing food. A must-visit!",2024-03-18T10:50:00
37,7,"Pleasantly surprised by the quick service.",2024-03-18T10:55:00
38,5,"Average, nothing really stands out.",2024-03-18T11:00:00
39,4,"Below expectations, especially with the high prices.",2024-03-18T11:05:00
4,8,"Really nice experience, the staff were incredible.",2024-03-18T11:10:00
41,6,"It was okay, but I think the ambiance could be better.",2024-03-18T11:15:00
42,10,"Loved every moment! The team really knows how to deliver.",2024-03-18T11:20:00
43,3,"I found the service to be quite lacking.",2024-03-18T11:25:00
44,7,"Nice place, would recommend checking it out.",2024-03-18T11:30:00
45,2,"Had higher expectations based on what I heard.",2024-03-18T11:35:00
46,8,"Very good experience, the desserts were amazing.",2024-03-18T11:40:00
47,5,"It was alright, but I probably won't rush back.",2024-03-18T11:45:00
48,9,"Impressive! The quality and service were top-notch.",2024-03-18T11:50:00
